"('diapers', 0.011430031079372429)"
"('godsend', 0.00012600957538044702)"
"('everybody', 0.00012594902408895895)"
"('require', 0.0001256935710218245)"
"('manage', 0.00012538459930342316)"
"('discs', 0.00012534024772885418)"
"('leak factor', 0.00012533666865996635)"
"('fortune', 0.00012493694673532541)"
"('emptying', 0.00012470961237084463)"
"('still keep', 0.00012453224039537665)"
"('fits', 0.0001245056581598123)"
"('granted', 0.00012446646160519027)"
"('babysitter', 0.000124394815787398)"
"('keeping', 0.00012422956800062633)"
"('big benefit', 0.0001240472221399042)"
"('huggies', 0.00012373345628922266)"
"('sturdy', 0.00012370466258740227)"
"('tons', 0.00012363658572953773)"
"('hospital', 0.0001236058558074027)"
"('practice', 0.00012341044146467042)"
"('spend tons', 0.00012292416909242344)"
"('litter', 0.00012269506877728758)"
"('fingernails', 0.00012245260304624323)"
"('disposing', 0.00012243033927875833)"
"('still tons', 0.00012224656960751332)"
"('spend', 0.00012221175245530913)"
"('food', 0.00012216925833841635)"
"('stinker', 0.00012185710572681349)"
"('much us', 0.00012167874722029262)"
"('dumpster', 0.00012145872718530629)"
"('soils', 0.00012112605999928797)"
"('still', 0.00012085655348548891)"
"('free', 0.00012063601277332342)"
"('like us', 0.00012053781171634227)"
"('call us', 0.00012047768572680668)"
"('simple', 0.00012029286838929573)"
"('cause', 0.00012022918079231942)"
"('childs', 0.00012015739839862164)"
"('remember', 0.00011989512196508757)"
"('leak back', 0.00011955349609913254)"
"('car', 0.00011944422697916153)"
"('back porch', 0.00011923721249277305)"
"('sense', 0.0001192044567916145)"
"('town', 0.00011853685638052382)"
"('yeah', 0.00011851955201887799)"
"('benefit', 0.00011808235888604226)"
"('business', 0.00011780885198346992)"
"('registery', 0.00011755500862808036)"
"('starts', 0.00011727520882724414)"
"('bulk', 0.00011696075758286259)"
"('big question', 0.00011668421163279965)"
"('comment', 0.00011660667618644313)"
"('receipt back', 0.00011608755882343071)"
"('plastic', 0.00011584345124784677)"
"('error', 0.00011572575026523988)"
"('hour', 0.00011571747631956494)"
"('read tons', 0.00011568968281170398)"
"('ai', 0.0001156486639809521)"
"('alignment', 0.00011547419638584025)"
"('request', 0.00011542439424510852)"
"('accepts', 0.00011476082509168812)"
"('success', 0.00011474803313767172)"
"('require cassettes', 0.00011473983044581507)"
"('doubt', 0.00011444916165995256)"
"('leaving', 0.0001143605133766414)"
"('vie', 0.00011429905671731625)"
"('narrow neck', 0.00011420651812420443)"
"('neck', 0.00011370532926890642)"
"('increase', 0.00011251683933257102)"
"('genieplus', 0.0001125130285031832)"
"('address', 0.00011237041451336154)"
"('drugstore', 0.00011191849957357182)"
"('walk', 0.00011181762589049989)"
"('fast', 0.00011164887505826803)"
"('girls', 0.00011157007651526617)"
"('however', 0.00011154816667683024)"
"('theory', 0.00011145185298541685)"
"('ruffies', 0.00011092915546772331)"
"('leak', 0.00011062327921040392)"
"('trashbag', 0.00011058741029539409)"
"('sucker', 0.00011052156870205404)"
"('porch', 0.00010999071199768493)"
"('becasue', 0.00010977930327487904)"
"('turns', 0.00010957402185490075)"
"('etc.', 0.00010945445849594307)"
"('knot', 0.00010912097208067467)"
"('alternatives', 0.00010909578606293002)"
"('tiny', 0.0001089952363504944)"
"('bags.i', 0.00010894057095775094)"
"('o', 0.00010868610802646545)"
"('stairs', 0.0001086019505860612)"
"('deoderizers', 0.0001085765614138198)"
"('fold', 0.00010856150560245523)"
"('ties', 0.00010849818293753131)"
"('dad', 0.00010848864960936552)"
"('messes', 0.00010810091148665483)"
"('quality', 0.0001080814446859936)"
"('territory', 0.0001080463274089308)"
"('cereal', 0.00010792663166066753)"
"('must knot', 0.00010792150707405358)"
"('potty', 0.00010789118909043535)"
"('read', 0.00010774277989387024)"
"('build', 0.00010767194306218156)"
"('snap', 0.00010754970684295584)"
"('thunk', 0.00010733563861137015)"
"('mths', 0.00010712935043635536)"
"('flipping', 0.00010698334406551373)"
"('worn', 0.00010694089650311235)"
"('needs', 0.00010672814133418963)"
"('must', 0.00010672204206743248)"
"('check', 0.0001066298336635036)"
"('crowds', 0.00010661243840135541)"
"('hubby', 0.00010650457320015621)"
"('degree', 0.00010624002989760253)"
"('phew', 0.00010623246197612858)"
"('carbon', 0.00010622688296781999)"
"('slave', 0.00010617470967621233)"
"('toy', 0.00010585054324696908)"
"('gives', 0.00010582915965614236)"
"('bleaching', 0.00010579061851771361)"
"('bye', 0.00010569695174868934)"
"('bye bye', 0.00010569695174868934)"
"('babiesrus', 0.00010551020142581899)"
"('tendency', 0.00010550259162788066)"
"('tub', 0.00010549596724529119)"
"('volume', 0.0001054647879221895)"
"('visit', 0.0001053041865082973)"
"('sun', 0.00010529145615832291)"
"('level', 0.00010527886142559751)"
"('cleanings', 0.00010525043415751427)"
"('plan', 0.00010523941887451035)"
"('brother-in-law', 0.00010506220697884314)"
"('controls', 0.00010489745021732288)"
"('see', 0.00010485737331307605)"
"('wrong', 0.0001047314250686929)"
"('locks', 0.00010466150485466862)"
"('us', 0.00010458976087702225)"
"('ship', 0.00010453912080912262)"
"('hinge', 0.00010453303395958235)"
"('stinkiness', 0.00010452994319450078)"
"('bounce', 0.00010446296666247701)"
"('shute', 0.00010408767518493167)"
"('bucket', 0.00010397876888249637)"
"('rate', 0.00010391294515778074)"
"('months-', 0.00010390497353907153)"
"('awhile', 0.00010372215109529214)"
"('receipt', 0.00010369140465900024)"
"('edge', 0.00010352849930509315)"
"('avoid', 0.00010352638739903865)"
"('question', 0.00010335633787183318)"
"('cousins', 0.00010331453479443001)"
"('attempts', 0.00010329185545287616)"
"('homework', 0.00010318453541015394)"
"('ownership', 0.00010314805745759865)"
"('padding', 0.00010310668311530133)"
"('dit', 0.00010304885635955891)"
"('openning', 0.00010304287279417136)"
"('youngest', 0.00010303505691455954)"
"('spot.pros', 0.0001030233068374748)"
